選舉區,號次,姓名,性別,出生年月日,年齡,推薦之政黨,學歷,是否現任,英文姓名,出生地
新北市烏來區,1,周守信,男,046/09/22,57,無,專科,否,,新北市
新北市烏來區,2,高富貫,男,031/08/13,72,無,大學,否,KAO FU KUANG,新北市
新北市烏來區,3,林啟明,男,051/05/19,52,無,專科,否,,新北市
新北市烏來區,4,張德勝,男,048/03/30,55,無,專科,否,,新北市
新北市烏來區,5,蔡馬新,男,040/11/20,63,無,高中,否,,新北市
桃園市復興區,1,陽國榮,男,065/08/20,38,無,高中,否,Yang Kuo Jung,臺灣省
桃園市復興區,2,曾志湘,男,046/04/15,57,中國國民黨,專科,否,Tseng Chin Hsiang,臺灣省
桃園市復興區,3,陳子瀅,女,057/10/05,46,中國國民黨,碩士,否,Chen Tzu Ying,臺灣省
桃園市復興區,4,范振興,男,044/03/26,59,無,高中,否,Fan Cheng Hsin,臺灣省
臺中市和平區,1,吳萬福,男,047/11/21,56,中國國民黨,高中,否,,臺中市
臺中市和平區,2,林建堂,男,043/09/22,60,中國國民黨,高中,否,,臺中市
臺中市和平區,3,陳文書,男,045/11/25,58,中國國民黨,高中,否,CHEN WEN SHU,臺灣省
高雄市茂林區,1,謝進財,男,048/07/26,55,中國國民黨,高中,否,,高雄市
高雄市茂林區,2,施貴成,男,043/10/25,60,無,專科,否,Shih kuei cheng,高雄市
高雄市茂林區,3,"宋能正 Angopaw．Komola",男,046/10/19,57,中國國民黨,專科,否,,高雄市
高雄市桃源區,1,張德政,男,061/09/10,42,台灣第一民族黨,專科,否,,高雄市
高雄市桃源區,2,謝英雄,男,047/08/27,56,中國國民黨,專科,否,,高雄市
高雄市桃源區,3,高豫,男,049/08/06,54,無,大學,否,,高雄市
高雄市那瑪夏區,1,"白樣‧伊斯理鍛 Payan‧Islituan",男,050/11/05,53,無,碩士,否,Islituan Payan,高雄市
高雄市那瑪夏區,2,"徐出世 Dahu‧Istanda",男,064/05/31,39,台灣第一民族黨,大學,否,,高雄市
新竹縣竹北市,1,何淦銘,男,048/07/11,55,無,大學,否,HO KAN MING,臺灣省
新竹縣竹北市,2,張碧琴,女,054/12/10,48,中國國民黨,碩士,否,CHANG PI CHIN,臺灣省
新竹縣竹東鎮,1,徐兆璋,男,043/11/28,60,中國國民黨,高中,是,,臺灣省
新竹縣新埔鎮,1,陳英樓,男,045/09/08,58,中國國民黨,大學,否,CHEN YING LOU,臺灣省
新竹縣新埔鎮,2,林保祿,男,046/03/02,57,無,大學,否,,臺灣省
新竹縣關西鎮,1,陳耀湘,男,035/12/01,67,中國國民黨,高中,否,CHEN YAO HSIANG,臺灣省
新竹縣關西鎮,2,曾錦祥,男,041/08/09,62,無,專科,否,TSENG CHIN SHIANG,臺灣省
新竹縣關西鎮,3,吳發仁,男,045/01/05,58,無,高中,是,WU FA JEN,臺灣省
新竹縣湖口鄉,1,林志華,男,054/03/17,49,中國國民黨,碩士,否,LIN CHIH HUA,新北市
新竹縣湖口鄉,2,陳基曜,男,057/10/09,46,無,大學,否,CHEN CHI YAO,臺灣省
新竹縣湖口鄉,3,羅世洞,男,034/05/15,69,無,其他,否,,臺灣省
新竹縣新豐鄉,1,徐茂淦,男,044/11/13,59,中國國民黨,專科,是,HSU MAO KAN,臺灣省
新竹縣芎林鄉,1,莊雲嬌,女,030/11/01,73,中國國民黨,其他,是,CHUANG YUN CHIAO,臺灣省
新竹縣芎林鄉,2,劉展原,男,047/01/04,56,無,碩士,否,LIU CHAN YUAN,臺灣省
新竹縣橫山鄉,1,古榮耀,男,041/01/02,62,中國國民黨,碩士,是,,臺灣省
新竹縣北埔鄉,1,陳慶德,男,046/11/08,57,無,其他,否,CHEN CHING TE,臺灣省
新竹縣北埔鄉,2,姜良明,男,043/01/02,60,民主進步黨,專科,否,,臺灣省
新竹縣北埔鄉,3,涂春海,男,043/07/01,60,中國國民黨,其他,是,TU CHUN HAI,臺灣省
新竹縣寶山鄉,1,邱坤桶,男,050/02/10,53,中國國民黨,大學,否,CHIU KEN TUNG,臺灣省
新竹縣寶山鄉,2,范玉燕,女,045/12/26,57,無,專科,是,FAN YU YEN,臺灣省
新竹縣峨眉鄉,1,江寧增,男,051/03/26,52,中國國民黨,專科,是,CHIANG NING TSENG,臺灣省
新竹縣峨眉鄉,2,郭光熙,男,036/04/05,67,無,高中,否,,臺灣省
新竹縣尖石鄉,1,雲天寶,男,043/04/02,60,中國國民黨,專科,是,Yun Tien Pao,臺灣省
新竹縣尖石鄉,2,曾國大,男,058/07/05,45,中國國民黨,碩士,否,Tseng Kuo Ta,臺灣省
新竹縣尖石鄉,3,邱文生,男,039/02/26,64,無,專科,否,,臺灣省
新竹縣五峰鄉,1,葛忠義,男,047/12/22,55,中國國民黨,高中,否,,臺灣省
新竹縣五峰鄉,2,秋振昌,男,042/10/23,61,無,其他,否,,臺灣省
新竹縣五峰鄉,3,羅俊敏,男,049/04/15,54,無,高中,否,,臺灣省
新竹縣五峰鄉,4,陳世文,男,041/09/18,62,無,大學,否,,臺灣省
苗栗縣苗栗市,1,邱其煌,男,038/08/29,65,無,專科,否,,臺灣省
苗栗縣苗栗市,2,邱炳坤,男,039/05/30,64,無,專科,是,Chiu Ping Kun,臺灣省
苗栗縣苑裡鎮,1,張顧礫,男,060/01/27,43,無,大學,否,,臺灣省
苗栗縣苑裡鎮,2,杜文卿,男,043/10/30,60,無,大學,是,TU WEN CHING,臺灣省
苗栗縣通霄鎮,1,徐永煌,男,059/05/02,44,無,碩士,是,,臺灣省
苗栗縣通霄鎮,2,巫恒昭,男,052/02/19,51,無,專科,否,,臺灣省
苗栗縣竹南鎮,1,陳冠興,男,041/08/05,62,中國國民黨,高中,否,,臺灣省
苗栗縣竹南鎮,2,康世明,男,058/11/26,45,無,大學,是,,臺灣省
苗栗縣頭份鎮,1,黃盛和,男,043/11/15,60,中國國民黨,碩士,否,Huang Sheng Ho,臺灣省
苗栗縣頭份鎮,2,徐定禎,男,050/01/03,53,無,大學,是,Hsu Ding Chen,臺灣省
苗栗縣後龍鎮,1,朱秋隆,男,049/08/30,54,中國國民黨,專科,否,,臺灣省
苗栗縣後龍鎮,2,蔡坤松,男,052/05/22,51,無,專科,否,,臺灣省
苗栗縣卓蘭鎮,1,詹坤金,男,053/05/16,50,中國國民黨,高中,否,CHAN KUNCHIN,臺灣省
苗栗縣卓蘭鎮,2,詹明光,男,039/09/07,64,中國國民黨,其他,是,CHAN MINGKUANG,臺灣省
苗栗縣大湖鄉,1,陳永福,男,041/02/19,62,中國國民黨,高中,是,,臺灣省
苗栗縣大湖鄉,2,胡娘妹,女,045/05/28,58,中國國民黨,大學,否,,臺灣省
苗栗縣公館鄉,1,賴源順,男,042/11/19,61,無,專科,否,,臺灣省
苗栗縣公館鄉,2,曾美露,女,044/01/13,59,中國國民黨,高中,否,TSENG MEI LU,臺灣省
苗栗縣銅鑼鄉,1,謝其全,男,042/09/10,61,中國國民黨,專科,是,HSIEH CHI CHUAN,臺灣省
苗栗縣銅鑼鄉,2,謝昌年,男,055/01/02,48,無,大學,否,,臺灣省
苗栗縣南庄鄉,1,賴盛為,男,037/09/02,66,中國國民黨,其他,是,,臺灣省
苗栗縣南庄鄉,2,李清枝,男,045/05/13,58,中國國民黨,其他,否,,臺灣省
苗栗縣頭屋鄉,1,江村貴,男,052/07/05,51,中國國民黨,大學,是,,臺灣省
苗栗縣頭屋鄉,2,楊謝國,男,047/08/16,56,無,高中,否,YANG HSIEH KUO,臺灣省
苗栗縣三義鄉,1,鄭淑如,女,053/12/05,49,無,大學,否,CHENG SHU JU,臺灣省
苗栗縣三義鄉,2,徐文達,男,047/04/10,56,中國國民黨,專科,是,HSU WEN TA,臺灣省
苗栗縣西湖鄉,1,李文林,男,038/12/26,64,中國國民黨,其他,是,,臺灣省
苗栗縣西湖鄉,2,古木賢,男,046/08/02,57,無,高中,否,,臺灣省
苗栗縣造橋鄉,1,黃純德,男,046/09/30,57,中國國民黨,高中,是,HUANG CHUN TE,臺灣省
苗栗縣三灣鄉,1,溫志強,男,059/06/02,44,中國國民黨,專科,否,,臺灣省
苗栗縣三灣鄉,2,梁召明,男,054/01/07,49,中國國民黨,大學,否,LIANG CHAO MING,臺灣省
苗栗縣三灣鄉,3,李聲生,男,051/08/20,52,中國國民黨,專科,否,,臺灣省
苗栗縣獅潭鄉,1,賴癸章,男,034/12/20,68,中國國民黨,高中,是,,臺灣省
苗栗縣獅潭鄉,2,黃媋蘭,女,042/06/05,61,無,高中,否,,臺灣省
苗栗縣泰安鄉,1,劉美蘭,女,051/10/23,52,無,專科,否,,臺灣省
苗栗縣泰安鄉,2,陳吉基,男,059/11/04,44,中國國民黨,專科,否,CHEN CHI CHI,臺灣省
苗栗縣泰安鄉,3,楊政孝,男,060/06/08,43,中國國民黨,高中,否,,臺灣省
彰化縣彰化市,1,邱建富,男,049/11/29,53,民主進步黨,碩士,是,CHIU CHIEN FU,臺灣省
彰化縣彰化市,2,林士聖,男,052/07/10,51,中國國民黨,碩士,否,LIN SHI SHENG,臺灣省
彰化縣鹿港鎮,1,許明輝,男,047/12/25,55,中國國民黨,高中,否,Hsu ming hui,臺灣省
彰化縣鹿港鎮,2,黃振彥,男,054/12/19,48,民主進步黨,大學,是,HVANG CHENG YEW,臺灣省
彰化縣和美鎮,1,林招膨,男,048/05/14,55,台灣團結聯盟,博士,否,LIN JAO PERNG,臺灣省
彰化縣和美鎮,2,阮厚爵,男,059/11/06,44,中國國民黨,專科,否,JUAN HOU CHUEN,臺灣省
彰化縣和美鎮,3,郭德勝,男,037/09/15,66,無,高中,否,KAO TE SHENG,臺灣省
彰化縣和美鎮,4,謝火煉,男,039/06/01,64,無,其他,否,Hsieh Huo Lian,臺灣省
彰化縣線西鄉,1,黃寶川,男,043/07/15,60,中國國民黨,專科,否,HUANG PAO CHUAN,臺灣省
彰化縣線西鄉,2,劉彩雲,女,047/02/27,56,中國國民黨,其他,否,,臺灣省
彰化縣線西鄉,3,蘇賜木,男,041/02/12,62,無,其他,否,,臺灣省
彰化縣伸港鄉,1,周富隆,男,049/03/25,54,無,專科,否,,臺灣省
彰化縣伸港鄉,2,曾煥彰,男,045/05/20,58,中國國民黨,高中,否,,臺灣省
彰化縣伸港鄉,3,柯金德,男,049/03/29,54,無,大學,否,Ko King der,臺灣省
彰化縣福興鄉,1,陳進丁,男,035/09/26,68,民主進步黨,大學,否,,臺灣省
彰化縣福興鄉,2,粘禮淞,男,046/11/12,57,無,專科,是,,臺灣省
